key,en,sw
fr_out_of_domain,We do not have fertilizer recommendation for your location because your location is out of the recommendation domain AKILIMO is currently serving.,Hatuna mapendekezo yoyote kwa eneo lako kwa sababu eneo lako liko nje la eneo ambalo AKILIMO linafanya kazi kwa sasa
fr_not_profitable,Fertilizer application does not increase your revenue therefore it is not recommended for your field.,Utumizi wa mbolea hauongezi mapato yako kwa hivyo haipendekezwi kwa shamba lako
sp_info,AKILIMO provides advice for schedule planting if only at least your planting or harvest time or both are flexible. Please provide this information and you will be advised when the best time is for your location.,AKILIMO hutoa ushauri wa upandaji wa ratiba ikiwa angalau wakati wako wa upandaji au wakati wa kuvuna au zote mbili zinabadilika. Tafadhali toa habari hii na utashauriwa wakati mzuri wa kupanda na kuvuna kwa eneo lako
sp_no_recommendation,We do not have a recommendation available for your location.,Hatuna mapendekezo yoyote kwa eneo lako.
fr_no_fert,We recommend to not apply any fertilizer. We do not expect that fertilizer application will result in a profitable yield increase in your situation.,Tunapendekeza kutotumia mbolea ya aina yoyote. Hatutegemei kuwa matumizi ya mbolea yatatoa ongezeko la mavuno yenye tija kutokana na taarifa za eneo lako
sp_no_yield_change,"We do not expect a change in total root production and no increase in revenue, but you can {action}","Hatutarajii mabadiliko ya jumla ya mavuno ya muhogo na hivyo hakuna ongezeko la kipato, lakini unaweza {action}"
sp_action_harvest,harvest earlier.,{SPACE}vuna mapema.
sp_action_plant,{SPACE}plant later.,panda kwa kuchelewa.
sp_value_increase_only,We do not expect a change in total root production but a value increase of {currency} {amount} due to a more attractive price at the recommended harvest date.,Hatutarajii mabadiliko ya jumla ya mavuno ya muhogo lakini ongezeko la thamani kwa {currency} {amount} kutokana na bei nzuri wakati wa kuvuna kwa tarehe inayopendekezwa.
sp_rec_plant_date,"We recommend you plant on {date}, {weeks} weeks {direction} than your proposed planting date.","Tunapendekeza upande tarehe {date}, wiki {weeks} {direction} kuliko tarehe uliyoipendekeza ya kupanda."
sp_rec_harvest_date,"We recommend you harvest on {date}, {weeks} weeks {direction} than your proposed harvest date.","Tunapendekeza uvune tarehe {date}, wiki {weeks} {direction} kuliko tarehe uliyoipendekeza ya kupanda."
dir_earlier,earlier,mapema
dir_later,later,baadaye
sp_proposed_planting_prefix,Your revenue will be highest at your proposed planting ( {pd_date} ){SPACE},mapato yako yatakuwa makubwa zaidi ukipanda tarehe ( {pd_date} ){SPACE}
sp_proposed_harvest_suffix,and harvest date ( {hd_date} ){SPACE},na kuvuna tarehe ( {hd_date} ){SPACE}
sp_no_change,We do not recommend any changes,Hatupendekezi mabadiliko yoyote.
sp_direction_decrease,{SPACE}a decrease,{SPACE}kupungua{SPACE}
